1	ERR9594652.1	2697049	288	0.791667	0.791667	0	no rank	2697049:62 
1	ERR9594652.2	2697049	288	0.989583	0.989583	0	no rank	2697049:74 
1	ERR9594652.3	2697049	288	0.984375	1	3	no rank	2697049:82 
1	ERR9594652.4	2697049	288	0.854167	0.854167	0	no rank	2697049:68 
1	ERR9594652.5	3000004	288	0.947917	0.947917	0	subspecies	2697049:30 3000004:40 
1	ERR9594652.6	2697049	288	0.927083	0.927083	0	no rank	2697049:75 
1	ERR9594652.7	2697049	288	0.5625	0.5625	0	no rank	2697049:40 
1	ERR9594652.8	2697049	288	0.791667	0.791667	0	no rank	2697049:62 
1	ERR9594652.9	2697049	288	1	1	0	no rank	2697049:82 
1	ERR9594652.10	2697049	288	0.708333	0.708333	0	no rank	2697049:54 
1	ERR9594652.11	2697049	288	0.770833	0.770833	0	no rank	2697049:60 
1	ERR9594652.12	3000004	288	0.651042	0.65625	1	subspecies	2697049:46 3000004:3 
1	ERR9594652.13	3000004	288	0.989583	0.989583	0	subspecies	2697049:74 3000004:7 
1	ERR9594652.14	2697049	288	1	1	0	no rank	2697049:82 
0	ERR9594652.15	0	288	0	0	0	no rank	
1	ERR9594652.16	2697049	288	0.8125	0.8125	0	no rank	2697049:64 
1	ERR9594652.17	2697049	288	1	1	0	no rank	2697049:82 
1	ERR9594652.18	2697049	288	0.9375	0.9375	0	no rank	2697049:78 
1	ERR9594652.19	2697049	288	1	1	0	no rank	2697049:82 
1	ERR9594652.20	3000004	288	1	1	0	subspecies	2697049:59 3000004:23 
0	ERR9594652.21	0	288	0	0	0	no rank	
1	ERR9594652.22	2697049	288	0.744792	0.75	1	no rank	2697049:58 
1	ERR9594652.23	2697049	288	0.9375	0.9375	0	no rank	2697049:69 
1	ERR9594652.24	2697049	288	0.770833	0.770833	0	no rank	2697049:60 
1	ERR9594652.25	2697049	288	1	1	0	no rank	2697049:82 
1	ERR9594652.26	2697049	288	0.989583	0.989583	0	no rank	2697049:81 
1	ERR9594652.27	2697049	288	0.770833	0.770833	0	no rank	2697049:60 
1	ERR9594652.28	2697049	288	0.958333	0.958333	0	no rank	2697049:78 
1	ERR9594652.29	2697049	288	0.484375	0.489583	1	no rank	2697049:33 
1	ERR9594652.30	2697049	288	0.895833	0.895833	0	no rank	2697049:72 
1	ERR9594652.31	2697049	288	0.979167	0.979167	0	no rank	2697049:80 
1	ERR9594652.32	2697049	288	0.791667	0.791667	0	no rank	2697049:62 
1	ERR9594652.33	2697049	288	0.640625	0.645833	1	no rank	2697049:48 
1	ERR9594652.34	2697049	288	0.895833	0.895833	0	no rank	2697049:72 
1	ERR9594652.35	3000004	288	1	1	0	subspecies	2697049:74 3000004:8 
1	ERR9594652.36	2697049	288	0.739583	0.75	2	no rank	2697049:58 
1	ERR9594652.37	2697049	288	1	1	0	no rank	2697049:82 
1	ERR9594652.38	2697049	288	0.963542	0.96875	1	no rank	2697049:79 
1	ERR9594652.39	2697049	288	1	1	0	no rank	2697049:82 
1	ERR9594652.40	3000004	288	0.776042	0.78125	1	subspecies	2697049:51 3000004:10 
1	ERR9594652.41	2697049	288	0.729167	0.729167	0	no rank	2697049:56 
1	ERR9594652.42	2697049	288	1	1	0	no rank	2697049:82 
1	ERR9594652.43	3000004	288	0.864583	0.864583	0	subspecies	2697049:47 3000004:8 
1	ERR9594652.44	2697049	288	1	1	0	no rank	2697049:82 
1	ERR9594652.45	3000004	288	0.932292	0.9375	1	subspecies	2697049:62 3000004:7 
1	ERR9594652.46	2697049	288	1	1	0	no rank	2697049:82 
1	ERR9594652.47	2697049	288	0.875	0.875	0	no rank	2697049:70 
1	ERR9594652.48	2697049	288	1	1	0	no rank	2697049:82 
